name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
lamport_true-unreach-call_o0.ll,0,1.046672,true,2853,5075,,44,,44,,82221,1086,991,11134,,991,44,0,
thin000_tso.oepc_true-unreach-call_o2.ll,2,6.394013,true,19504,27877,,145,,145,,587394,6610,1107,86559,,1107,145,0,
safe036_tso.opt_true-unreach-call_os.ll,S,7.679054,true,23712,34538,,166,,166,,730630,6932,1245,106043,,1245,166,0,
peterson_true-unreach-call_o2.ll,2,0.061912,true,202,319,,,,,,3101,53,,664,,0,0,0,
safe010_tso.oepc_true-unreach-call_os.ll,S,5.770493,true,18859,26897,,145,,145,,512720,6530,1063,83721,,1063,145,0,
safe022_tso.oepc_true-unreach-call_o2.ll,2,6.513405,true,19975,28641,,145,,145,,603758,6688,1160,88107,,1160,145,0,
queue_false-unreach-call_o2.ll,2,2.231845,false,1551,2716,61,61,,,,254688,60,,7372,,0,0,0,
rfi005_pso.oepc_false-unreach-call_o0.ll,0,1.227588,false,1706,437,29,46,,17,,23933,139,93,4516,,93,17,0,
safe006_tso.oepc_true-unreach-call_os.ll,S,6.413608,true,19504,27877,,145,,145,,587394,6610,1107,86559,,1107,145,0,
stateful01_true-unreach-call_o2.ll,2,0.423401,true,258,383,,,,,,7810,92,,702,,0,0,0,
fkp2013_variant_false-unreach-call_os.ll,S,0.323067,false,136,93,64,70,1,5,,851,134,3,371,,3,6,0,
thin000_pso.oepc_true-unreach-call_o0.ll,0,1.470588,true,7461,2073,,30,,30,,42374,3678,190,18857,,190,30,0,
lazy01_false-unreach-call_o2.ll,2,0.061778,false,295,492,1,1,,,,5975,164,,855,,0,0,0,
23_lu-fig2.fixed_true-unreach-call_o0.ll,0,0.081613,true,267,86,,5,,5,,1202,139,29,564,,29,5,0,
23_lu-fig2.fixed_true-unreach-call_o2.ll,2,0.04151,true,73,46,,1,,1,,535,17,16,229,,16,1,0,
thin000_pso.oepc_true-unreach-call_o2.ll,2,6.432997,true,19504,27877,,145,,145,,587394,6610,1107,86559,,1107,145,0,
safe036_tso.opt_true-unreach-call_o2.ll,2,7.679819,true,23712,34538,,166,,166,,730630,6932,1245,106043,,1245,166,0,
23_lu-fig2.fixed_true-unreach-call_os.ll,S,0.041438,true,75,47,,1,,1,,589,20,16,233,,16,1,0,
18_read_write_lock_true-unreach-call_o0.ll,0,0.041768,true,124,33,,1,,1,,388,77,,271,,0,1,0,
18_read_write_lock_true-unreach-call_o2.ll,2,0.04119,true,45,27,,2,,2,,280,27,1,126,,1,2,0,
16_peterson_true-unreach-call_o0.ll,0,0.282751,true,410,358,,35,,35,,5443,237,382,1750,,382,35,0,
safe036_power.oepc_true-unreach-call_o2.ll,2,7.658996,true,23712,34538,,166,,166,,730630,6932,1245,106043,,1245,166,0,
read_write_lock_true-unreach-call_o2.ll,2,4.080922,true,8659,26486,,108,,108,,419726,6816,4335,53787,,4335,108,0,
