name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
bist_cell_true.cil_o0.ll,0,0.141943,true,197,2,4,14,,10,,90,49,4,450,,4,10,0,
token_ring.02_false.cil_o0.ll,0,2.112295,false,1627,192,114,304,2,188,,3688,564,1409,4171,,1409,190,0,
toy2_false.cil_os.ll,S,3.821808,false,2820,157,322,477,,155,,15479,455,1948,6845,,1948,155,0,
transmitter.02_false.cil_o0.ll,0,1.127168,false,1151,36,84,152,,68,,1097,395,299,3038,,299,68,0,
token_ring.03_false.cil_o2.ll,2,7.823722,true,4880,400,648,1017,3,366,,31295,737,3564,12909,,3564,369,0,
transmitter.03_false.cil_os.ll,S,4.605805,false,3781,245,520,682,,162,,13291,625,2326,9696,,2326,162,0,
kundu_true.cil_o2.ll,2,36.526319,true,21075,1634,3278,4023,,745,,138311,3527,15596,56683,,15596,745,0,
bist_cell_true.cil_o2.ll,2,0.12194,true,140,2,4,9,,5,,104,10,,316,,0,5,0,
transmitter.04_false.cil_o2.ll,2,28.581167,false,20242,1225,2792,3113,,321,,130557,2935,16178,53802,,16178,321,0,
token_ring.01_true.cil_os.ll,S,0.726742,true,276,21,50,134,,84,,579,73,79,679,,79,84,0,
mem_slave_tlm.4_true.cil_os.ll,S,5.612927,true,2414,57,114,320,,206,,5617,158,276,6769,,276,206,0,
kundu_true.cil_os.ll,S,42.659278,true,22585,1565,3140,4599,,1459,,86997,4721,14661,58402,,14661,1459,0,
token_ring.02_false.cil_o2.ll,2,2.15219,true,1034,92,164,357,1,192,,5476,174,670,2672,,670,193,0,
toy2_false.cil_o0.ll,0,4.264512,false,2864,159,324,514,,190,,13992,644,1679,8378,,1679,190,0,
mem_slave_tlm.5_true.cil_o0.ll,0,20.945443,true,8952,78,156,450,,294,,7798,1176,245,19253,,245,294,0,
token_ring.05_true.cil_o0.ll,0,108.573583,true,68835,17394,4886,8261,77,3298,,675400,22046,165656,182193,,165656,3375,0,
token_ring.02_true.cil_os.ll,S,1.752162,true,875,137,116,305,1,188,,3310,206,933,2245,,933,189,0,
token_ring.02_true.cil_o2.ll,2,2.192266,true,1034,92,164,358,1,193,,5424,174,673,2672,,673,194,0,
token_ring.03_true.cil_o0.ll,0,9.956655,true,5995,1298,382,1180,9,789,,31372,2000,10060,15621,,10060,798,0,
transmitter.15_false.cil_o0.ll,0,0.222415,false,228,,4,4,,,,,54,,615,,0,0,0,
transmitter.16_false.cil_o0.ll,0,0.242492,false,243,,4,4,,,,,57,,654,,0,0,0,
token_ring.01_false.cil_o2.ll,2,0.945896,true,321,29,74,178,,104,,1267,78,117,816,,117,104,0,
transmitter.01_false.cil_os.ll,S,0.282804,false,105,8,22,51,,29,,251,24,21,256,,21,29,0,
mem_slave_tlm.4_true.cil_o0.ll,0,13.258786,true,7182,64,128,370,,242,,6266,962,207,15477,,207,242,0,
token_ring.04_true.cil_os.ll,S,18.602696,true,12121,2825,1476,2240,19,745,,112805,2432,28393,31070,,28393,764,0,
token_ring.04_false.cil_os.ll,S,18.501885,true,12121,2825,1476,2269,19,774,,112850,2432,28623,31070,,28623,793,0,
mem_slave_tlm.2_true.cil_os.ll,S,2.315661,true,1352,33,66,183,,117,,3109,94,173,3853,,173,117,0,
token_ring.04_false.cil_o2.ll,2,30.129127,true,18816,1426,2386,2991,6,599,,143642,2630,14724,49432,,14724,605,0,
pc_sfifo_2_false.cil_o2.ll,2,0.041453,false,23,,2,2,,,,,2,,54,,0,0,0,
transmitter.03_false.cil_o2.ll,2,5.530992,false,3958,251,594,770,,176,,20346,632,2678,10717,,2678,176,0,
mem_slave_tlm.1_true.cil_os.ll,S,1.147373,true,838,21,42,111,,69,,1927,62,125,2398,,125,69,0,
