name,opt,time,result,states,SMT calls Subseteq(),SMT calls Empty(),SMT queries,SMT queries SAT,SMT queries unSAT,SMT queries unSAT,SMT subseteq on syntax. equal,SMT simplify calls,SMT CACHED,Instruction executed,Instructions executed observable,Hit count,Miss count,Replace count,Note
sum01_bug02_sum01_bug02_base.case_false_o2.ll,2,0.101131,false,13,4,22,22,,,,,27,,100,,0,0,0,
while_infinite_loop_1_true_os.ll,S,0.020844,true,2,1,,,,,,1,,,7,,0,0,0,
string_true_os.ll,S,5.046777,true,382,600,268,763,495,,,,586,,3231,,0,0,0,
n.c40_true_o2.ll,2,0.081575,true,10,1,6,7,1,,,,8,,23,,0,0,0,
nec11_false_o2.ll,2,0.020788,false,3,,2,2,,,,,2,,6,,0,0,0,
count_up_down_true_o2.ll,2,0.020776,true,2,,,,,,,,1,,5,,0,0,0,
count_up_down_false_o2.ll,2,0.020781,false,2,,,,,,,,,,4,,0,0,0,
invert_string_true_o2.ll,2,0.040836,true,2,,,,,,,,1,,21,,0,0,0,
trex01_false_o2.ll,2,0.020709,false,2,,,,,,,,,,4,,0,0,0,
while_infinite_loop_3_true_o2.ll,2,0.020667,true,3,1,,1,,1,,,,,6,,0,0,0,
trex01_true_o2.ll,2,0.040914,true,2,,,,,,,,1,,5,,0,0,0,
for_infinite_loop_2_true_os.ll,S,0.020737,true,2,1,2,2,,,,1,2,,14,,0,0,0,
terminator_02_true_o2.ll,2,0.060976,true,2,,10,10,,,,,11,,28,,0,0,0,
nec20_false_os.ll,S,0.020848,false,2,,,,,,,,,,4,,0,0,0,
count_up_down_false_o0.ll,0,0.040884,false,12,,4,4,,,,,4,,25,,0,0,0,
for_bounded_loop1_false_o2.ll,2,0.101227,false,6,,20,20,,,,,20,,64,,0,0,0,
while_infinite_loop_4_false_o2.ll,2,0.02084,false,3,,,,,,,,,,4,,0,0,0,
verisec_NetBSD-libc__loop_false_os.ll,S,0.020728,false,9,,,,,,,,,,36,,0,0,0,
sum01_bug02_false_o2.ll,2,0.14128,false,17,6,30,30,,,,,37,,150,,0,0,0,
for_bounded_loop1_false_o0.ll,0,0.061043,false,28,,12,12,,,,,12,,67,,0,0,0,
sum01_bug02_sum01_bug02_base.case_false_o0.ll,0,0.10124,false,65,4,20,20,,,,,45,,156,,0,0,0,
n.c11_true_o0.ll,0,0.08111,true,65,8,16,17,,1,,,56,,197,,0,0,0,
trex01_true_os.ll,S,0.020861,true,2,,,,,,,,1,,5,,0,0,0,
n.c11_true_os.ll,S,0.081045,true,12,7,14,16,,2,,,20,,87,,0,0,0,
